"SiteID_WQX","SiteName_WQX","Parameter","SiteID"
"ARDEQH2O_WQX-WHI0106","White River at Durham, Arkansas","Escherichia coli","WHI0106"
"ARDEQH2O_WQX-ARK0042","Mulberry River at Interstate 40","Escherichia coli","ARK0042"
"ARDEQH2O_WQX-ARK0031","Arkansas River at Lock and Dam No. 9 near Oppelo, Arkansas","Escherichia coli","ARK0031"
"ARDEQH2O_WQX-BUFR05","Buffalo River at Woolum","Escherichia coli","BUFR05"
"ARDEQH2O_WQX-ARK0033","Arkansas River at Ozark Lock and Dam","Escherichia coli","ARK0033"
"ARDEQH2O_WQX-WHI0123","Kings River near Alabam, Arkansas","Escherichia coli","WHI0123"
"ARDEQH2O_WQX-WHI0116","War Eagle Creek at Hwy. 45","Escherichia coli","WHI0116"
"ARDEQH2O_WQX-WHI0048A","Crooked Creek at Yellville (replaced 8/8/06 by WHI0193)","Escherichia coli","WHI0048A"
"ARDEQH2O_WQX-WHI0052","White River near Goshen, Arkansas","Escherichia coli","WHI0052"
"ARDEQH2O_WQX-WHI0071","Long Creek below Denver, Arkansas","Escherichia coli","WHI0071"
"ARDEQH2O_WQX-BUFT09","Richland Creek - tributary of Buffalo River","Escherichia coli","BUFT09"
"ARDEQH2O_WQX-BUFR07","Buffalo River at Highway 14","Escherichia coli","BUFR07"
"ARDEQH2O_WQX-BUFT05","Little Buffalo River - tributary of Buffalo River","Escherichia coli","BUFT05"
"ARDEQH2O_WQX-ARK0043","Big Piney Creek at Hwy. 164","Escherichia coli","ARK0043"
"ARDEQH2O_WQX-WHI0051","West Fork White River east of Fayetteville, Arkansas","Escherichia coli","WHI0051"
"ARDEQH2O_WQX-WHI0069","Osage Creek below Berryville, Arkansas","Escherichia coli","WHI0069"
"ARDEQH2O_WQX-ARK0044","Illinois Bayou northwest of Dover, Arkansas on SR7","Escherichia coli","ARK0044"
"ARDEQH2O_WQX-ARK0038","Arkansas River at Van Buren","Escherichia coli","ARK0038"
"ARDEQH2O_WQX-WHI0171","Myatt Creek near Cherokee Village","Escherichia coli","WHI0171"
"ARDEQH2O_WQX-BUFR02","Buffalo River at Ponca","Escherichia coli","BUFR02"
"ARDEQH2O_WQX-WHI0048C","Crooked Creek at Hwy. 101 2 miles north of Rea Valley, AR","Escherichia coli","WHI0048C"
"ARDEQH2O_WQX-ARK0030","Arkansas River at Lock and Dam No. 8","Escherichia coli","ARK0030"
"ARDEQH2O_WQX-UWFRE01","Freeo Creek at Hwy. 9, 5 miles west of Bearden, Arkansas","Escherichia coli","UWFRE01"
"ARDEQH2O_WQX-BUFR04","Buffalo River at Hasty","Escherichia coli","BUFR04"
"ARDEQH2O_WQX-WHI0068","Osage Creek above Berryville, Arkansas","Escherichia coli","WHI0068"
"ARDEQH2O_WQX-WHI0103","Middle Fork White River southwest of Elkins, Arkansas","Escherichia coli","WHI0103"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Calcium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Magnesium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Potassium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Sodium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Bromide","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Chloride","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Fluoride","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Sulfate","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Aluminum","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Barium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Beryllium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Cadmium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Chromium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Cobalt","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Copper","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Iron","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Lead","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Manganese","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Nickel","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Vanadium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Zinc","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Arsenic","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Boron","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Selenium","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Ammonia-nitrogen","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Kjeldahl nitrogen","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Orthophosphate","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Phosphate-phosphorus","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Organic carbon","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Alkalinity, total","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Biochemical oxygen demand, standard conditions","ARK0007A"
"ARDEQH2O_WQX-ARK0007A","Barren Fork on SR45 E of Dutch Mills","Dissolved oxygen (DO)","ARK0007A"
